wine_name,grape,region,country,year,price,rating,review
Corvina fromVeneto,Corvina, Veneto,Italy,2018,8.76,4.1,"Rapport qualité prix exceptionnel, le nez cependant est discret, marqué par un compoté de fruits noirs, la bouche est envahissante , boisé, à juste pour point, un délice sur des plats en sauce et de la viande rouge. On oubliera pas les fromages, camembert, Livarot, fromages puissants etc, impératif d'avoir dans sa cave à moins de dix €....sensationnel !"
Primitivo fromSalento,Primitivo, Salento,Italy,2018,19.46,4.0,"エノテカハッピーワインで3000
当たり
華やかさ、チョコっぽさもありつつ、いちご、ベリーの果実味強し
コスパ考えると4.4"
Cabernet Sauvignon fromBolgheri,Cabernet Sauvignon, Bolgheri,Italy,2020,33.46,4.2,Стабильно хорошая Тоскана
Shiraz/Syrah fromVino de España,Shiraz/Syrah, Vino de España,Spain,2019,13.72,4.2,Vin tranquille 
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"fruchtig, kräftig, säure und tanine. schöner essensbegleiter."
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Lækker dyb mørk vin næsten sort med smag af fad og solbær og syltet blomme er fremragende til grill og ost - nærmest et lille måltid i sig selv. Er i min top 10 !
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Vinho fantástico! Bem estruturado, encorpado!"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Um dos melhores vinhos dentro de sua faixa de preço. Atrevo a dizer que é um ícone. Encorpado e bem estruturado. Adoro.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Good wine
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Excellent blend.
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Otimo
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Very good!
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,vino eccezionale !
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,Me cojioni!!!
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Cereja, tabaco, ameixa, figo seco,  cassis. Agradável e boa persistência. Nota 91"
Sangiovese fromAbruzzo,Sangiovese, Abruzzo,Italy,2018,22.26,4.3,"Aveludado, frutado, equilibrado e diferente... Sem acidez."
